,name,album,artist,duration_ms,popularity,img_album,external_url,id
0,Lucy In The Sky With Diamonds - Remastered 2009,Sgt. Pepper's Lonely Hearts Club Band (Remastered),The Beatles,208466,66,https://i.scdn.co/image/ab67616d00001e0234ef8f7d06cf2fc2146f420a,https://open.spotify.com/track/25yQPHgC35WNnnOUqFhgVR,25yQPHgC35WNnnOUqFhgVR
1,Karma,Midnights,Taylor Swift,204852,88,https://i.scdn.co/image/ab67616d00001e02bb54dde68cd23e2a268ae0f5,https://open.spotify.com/track/7KokYm8cMIXCsGVmUvKtqf,7KokYm8cMIXCsGVmUvKtqf
2,"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Stay With Me (with Justin Timberlake, Halsey, & Pharrell)",Calvin Harris,229282,78,https://i.scdn.co/image/ab67616d00001e029b93a80dbfd3d789065d7b67,https://open.spotify.com/track/5lfWrciYtohtIMVDVZd0Rf,5lfWrciYtohtIMVDVZd0Rf
3,Good For You,Revival (Deluxe),Selena Gomez,221280,63,https://i.scdn.co/image/ab67616d00001e02e6f5ed9a9059f686965ba90a,https://open.spotify.com/track/578Eooad7oUyn4stovZiPg,578Eooad7oUyn4stovZiPg
4,Good For You,Cross Country,BRELAND,182502,49,https://i.scdn.co/image/ab67616d00001e02573efb306606ae4ea28d0ea1,https://open.spotify.com/track/1efGCNUZ93dHWMoS2kK4Wi,1efGCNUZ93dHWMoS2kK4Wi
5,Next Thing You Know,Next Thing You Know,Jordan Davis,175237,74,https://i.scdn.co/image/ab67616d00001e02024d992c606a2596e9b328dc,https://open.spotify.com/track/2lNTHWu2I5Tcz9ukWsV5Jj,2lNTHWu2I5Tcz9ukWsV5Jj
6,Bones - twocolors Remix,Bones (twocolors Remix),Imagine Dragons,256092,68,https://i.scdn.co/image/ab67616d00001e0245cb5ed00a0d2f7a0a44e6c7,https://open.spotify.com/track/2czjUxrgctplH7SDrJLGGb,2czjUxrgctplH7SDrJLGGb
7,Wish You Were Here (feat. Khalid) - Heartstrings Version,Wish You Were Here (feat. Khalid) [Heartstrings Version],Lukas Graham,176856,54,https://i.scdn.co/image/ab67616d00001e0297c19d8ad1a2e1df0e5b612c,https://open.spotify.com/track/7CpCLDOZUZaKrr3yfs6z40,7CpCLDOZUZaKrr3yfs6z40
8,would you love me now?,would you love me now?,Joshua Bassett,205646,67,https://i.scdn.co/image/ab67616d00001e025b35a16ad8dbaf79e1d3ccc1,https://open.spotify.com/track/2PKKGrBkNB8bV8Vv4hwB2j,2PKKGrBkNB8bV8Vv4hwB2j
9,Hold Me Closer,Hold Me Closer,Elton John,202245,88,https://i.scdn.co/image/ab67616d00001e025d872e7b0c1ba964541f07e8,https://open.spotify.com/track/72yP0DUlWPyH8P7IoxskwN,72yP0DUlWPyH8P7IoxskwN
