,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,In the Sun,0.654,0.81,4,-6.26,0,0.0288,0.00719,0.00251,0.165,0.661,114.623,audio_features,2MLHyLy5z5l5YRp7momlgw,spotify:track:2MLHyLy5z5l5YRp7momlgw,https://api.spotify.com/v1/tracks/2MLHyLy5z5l5YRp7momlgw,https://api.spotify.com/v1/audio-analysis/2MLHyLy5z5l5YRp7momlgw,200307,4
1,Some Kind Of Wonderful,0.855,0.691,2,-6.51,1,0.0514,0.144,0.0,0.36,0.647,121.472,audio_features,1cU34sZG9kF4FYHCoAD0Ib,spotify:track:1cU34sZG9kF4FYHCoAD0Ib,https://api.spotify.com/v1/tracks/1cU34sZG9kF4FYHCoAD0Ib,https://api.spotify.com/v1/audio-analysis/1cU34sZG9kF4FYHCoAD0Ib,202733,4
2,Today,0.456,0.826,8,-7.611,1,0.0268,3.35e-05,0.57,0.0548,0.415,82.539,audio_features,0u5aO1GYsIhAWCPuXdwnak,spotify:track:0u5aO1GYsIhAWCPuXdwnak,https://api.spotify.com/v1/tracks/0u5aO1GYsIhAWCPuXdwnak,https://api.spotify.com/v1/audio-analysis/0u5aO1GYsIhAWCPuXdwnak,201173,4
3,You Know My Name,0.293,0.46,7,-6.992,1,0.0335,0.14,0.0,0.0779,0.191,97.635,audio_features,0Dlm41iXvTsIVsEOce3yX6,spotify:track:0Dlm41iXvTsIVsEOce3yX6,https://api.spotify.com/v1/tracks/0Dlm41iXvTsIVsEOce3yX6,https://api.spotify.com/v1/audio-analysis/0Dlm41iXvTsIVsEOce3yX6,480547,3
4,Do You Wanna,0.548,0.611,1,-9.0,0,0.131,0.17,0.00247,0.0762,0.725,201.985,audio_features,2M7UdnD0fEaryh8TnCvqFX,spotify:track:2M7UdnD0fEaryh8TnCvqFX,https://api.spotify.com/v1/tracks/2M7UdnD0fEaryh8TnCvqFX,https://api.spotify.com/v1/audio-analysis/2M7UdnD0fEaryh8TnCvqFX,251853,4
5,Strawberry Fields Forever,0.39,0.502,10,-12.277,1,0.178,0.336,0.000138,0.0713,0.289,97.871,audio_features,3Am0IbOxmvlSXro7N5iSfZ,spotify:track:3Am0IbOxmvlSXro7N5iSfZ,https://api.spotify.com/v1/tracks/3Am0IbOxmvlSXro7N5iSfZ,https://api.spotify.com/v1/audio-analysis/3Am0IbOxmvlSXro7N5iSfZ,247320,4
6,Flake,0.758,0.654,5,-10.98,1,0.04,0.662,0.0197,0.199,0.962,97.657,audio_features,7hOXiS6kDP4vYIh9DBsNgK,spotify:track:7hOXiS6kDP4vYIh9DBsNgK,https://api.spotify.com/v1/tracks/7hOXiS6kDP4vYIh9DBsNgK,https://api.spotify.com/v1/audio-analysis/7hOXiS6kDP4vYIh9DBsNgK,281749,4
7,Ball And Biscuit,0.511,0.67,9,-7.135,1,0.188,0.0509,0.145,0.102,0.605,78.138,audio_features,7kYSpDviYdP8QKrnWLQYVN,spotify:track:7kYSpDviYdP8QKrnWLQYVN,https://api.spotify.com/v1/tracks/7kYSpDviYdP8QKrnWLQYVN,https://api.spotify.com/v1/audio-analysis/7kYSpDviYdP8QKrnWLQYVN,439067,4
8,Girlfriend in a Coma,0.68,0.626,7,-8.519,1,0.0255,0.126,1.3e-06,0.0995,0.96,104.333,audio_features,01q4ccXbvPlCwZ1fPiFaeM,spotify:track:01q4ccXbvPlCwZ1fPiFaeM,https://api.spotify.com/v1/tracks/01q4ccXbvPlCwZ1fPiFaeM,https://api.spotify.com/v1/audio-analysis/01q4ccXbvPlCwZ1fPiFaeM,122760,4
9,Chocolate,0.591,0.94,11,-4.341,1,0.0522,0.00391,0.0,0.383,0.676,100.043,audio_features,44Ljlpy44mHvLJxcYUvTK0,spotify:track:44Ljlpy44mHvLJxcYUvTK0,https://api.spotify.com/v1/tracks/44Ljlpy44mHvLJxcYUvTK0,https://api.spotify.com/v1/audio-analysis/44Ljlpy44mHvLJxcYUvTK0,224640,4
