,title,album,artist,time,stars,played,deleted,id
485,In the Sun,Grey&#39;s Anatomy Soundtrack,Chris Martin ft. Michael Stipe,229000,5,71,,2MLHyLy5z5l5YRp7momlgw
983,Some Kind Of Wonderful,Grand Theft Auto: San Andreas OST,Grand Funk Railroad,203000,4,70,,1cU34sZG9kF4FYHCoAD0Ib
1111,Today,First between 3rd and 4th,Joshua Radin,217000,5,69,,0u5aO1GYsIhAWCPuXdwnak
1237,You Know My Name,James Bond Themes,Chris Cornell,242466,4,58,,0Dlm41iXvTsIVsEOce3yX6
263,Don&#39;t panic,Garden state [Soundtrack],Coldplay,137000,4,49,,
1070,The Pieces Don&#39;t Fit Anymore,Undiscovered,James Morrison,255997,4,44,,
252,Do You Wanna,First between 3rd and 4th,Joshua Radin,163000,4,41,,2M7UdnD0fEaryh8TnCvqFX
1009,Strawberry Fields Forever,Across The Universe [Disc 2],Jim Sturgess &amp; Joe Anderson,217336,4,40,,3Am0IbOxmvlSXro7N5iSfZ
342,Flake,Brushfire Fairytales,Jack Johnson,281519,4,40,,7hOXiS6kDP4vYIh9DBsNgK
984,Someone Else&#39;s Life,We Were Here,Joshua Radin,210727,4,40,,
80,Ball And Biscuit,Elephant,The White Stripes,438957,4,39,,7kYSpDviYdP8QKrnWLQYVN
382,Girlfriend in a Coma,First between 3rd and 4th,Joshua Radin,168000,4,39,,01q4ccXbvPlCwZ1fPiFaeM
173,Chocolate,The Last Kiss,Snow Patrol,189000,4,38,,44Ljlpy44mHvLJxcYUvTK0
1142,Twenty-Four,title,Switchfoot,291497,4,38,,49OR3gcx7PV89WfK63AubY
957,Sideways,Scrubs s5,Citizen Cope,319030,4,37,,19DnL1HnJiijuEfaiS0Eus
314,Everything&#39;ll Be Alright (Will&#39;s Lullaby),We Were Here,Joshua Radin,159894,4,37,,
1113,Tomorrow can wait (vs El Tocadisco),Pop Life,David Guetta,214000,4,35,,
1181,We Can Work It Out,One,The Beatles,135000,4,33,,41q8ZiB3LZl4HRmmzUTIo4
1015,Such great heights,Garden state [Soundtrack],Iron and wine,250616,4,33,,27LyQFdQbui4TnRs05cZ8C
413,HARVEST MOON,My Blueberry Nights OST,CASSANDRA WILSON,284418,4,31,,5l9c6bJmzvftumhz4TMPgk
535,Kids,Oracular Spectacular,MGMT,302861,4,30,,1jJci4qxiYcOHhQR247rEU
432,High Tide Or Low Tide,Last Call With Carson Daly 6/28/03,Ben Harper &amp; Jack Johnson,338000,4,30,,25s9gQB6i58zmOZdgdcTAQ
640,Love Don&#39;t Let Me Go,Weezer (Green Album),David Guetta Feat. Chris Willis,137000,4,29,,
599,Les lois de la nature,Les lois de la nature,De Palmas,295000,4,29,,3xddRRLceNQJ3JpbH5tS2O
487,In Too Deep,All Killer No Filler,Sum 41,207096,4,29,,1HNE2PX70ztbEl6MLxrpNL
400,Hands In The Air,Feed The Animals,Girl Talk,260000,4,29,,7CjtstFjQxp6Py1Jy5whPp
78,Baby when the light (with Steve Angelo ft Cozi),Pop Life,David Guetta,208000,4,28,,
468,If I Could Turn Back The Hands Of Time,,R Kelly,378589,4,28,,7tNU9Ax7hzHA4nzo57aZb3
110,blowin in the wind,The Freewheelin&#39; Bob Dylan,bob dylan,165432,4,26,,18GiV1BaXzPVYpp9rmOg0E
436,Hold On -Jet,Spider-Man 2,Jet,243345,4,26,,6fTX2poT39Ucz6A7Tsqyg9
476,Imagine,Emotive,A Perfect Circle,287997,4,26,,39LmTF9RgyakzSYX8txrow
