,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,The Times They Are A-Changin',0.389,0.396,7,-7.999,1,0.0332,0.887,0.0,0.0828,0.585,171.86,audio_features,52vA3CYKZqZVdQnzRrdZt6,spotify:track:52vA3CYKZqZVdQnzRrdZt6,https://api.spotify.com/v1/tracks/52vA3CYKZqZVdQnzRrdZt6,https://api.spotify.com/v1/audio-analysis/52vA3CYKZqZVdQnzRrdZt6,192053,3
1,La Corrida,0.608,0.322,5,-15.391,1,0.0431,0.7,0.00298,0.0724,0.274,98.724,audio_features,5MtP6QGoOkA1L5ynZyQEiv,spotify:track:5MtP6QGoOkA1L5ynZyQEiv,https://api.spotify.com/v1/tracks/5MtP6QGoOkA1L5ynZyQEiv,https://api.spotify.com/v1/audio-analysis/5MtP6QGoOkA1L5ynZyQEiv,342613,4
2,Blinding Lights,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,audio_features,0VjIjW4GlUZAMYd2vXMi3b,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b,https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b,200040,4
3,Fly Me To The Moon - Remastered,0.67,0.365,0,-10.158,1,0.0564,0.525,0.0,0.0575,0.45,119.344,audio_features,2dR5WkrpwylTuT3jRWNufa,spotify:track:2dR5WkrpwylTuT3jRWNufa,https://api.spotify.com/v1/tracks/2dR5WkrpwylTuT3jRWNufa,https://api.spotify.com/v1/audio-analysis/2dR5WkrpwylTuT3jRWNufa,147147,4
4,Sky and Sand,0.791,0.329,10,-12.906,0,0.0592,0.6,0.863,0.193,0.526,127.021,audio_features,4IsHMzDbRE8q5Z4ALsQj3o,spotify:track:4IsHMzDbRE8q5Z4ALsQj3o,https://api.spotify.com/v1/tracks/4IsHMzDbRE8q5Z4ALsQj3o,https://api.spotify.com/v1/audio-analysis/4IsHMzDbRE8q5Z4ALsQj3o,230500,4
5,Knockin' On Heaven's Door,0.496,0.739,6,-7.193,1,0.0415,0.0211,0.00444,0.106,0.378,132.41,audio_features,4JiEyzf0Md7KEFFGWDDdCr,spotify:track:4JiEyzf0Md7KEFFGWDDdCr,https://api.spotify.com/v1/tracks/4JiEyzf0Md7KEFFGWDDdCr,https://api.spotify.com/v1/audio-analysis/4JiEyzf0Md7KEFFGWDDdCr,336000,4
6,Breakfast In America - Remastered,0.532,0.663,0,-5.886,0,0.0292,0.425,1.07e-06,0.0734,0.756,75.14,audio_features,4a5pNRjwmzYQuEY1E7O6pj,spotify:track:4a5pNRjwmzYQuEY1E7O6pj,https://api.spotify.com/v1/tracks/4a5pNRjwmzYQuEY1E7O6pj,https://api.spotify.com/v1/audio-analysis/4a5pNRjwmzYQuEY1E7O6pj,159347,4
7,Shake It Off,0.648,0.785,7,-5.414,1,0.165,0.0561,0.0,0.148,0.943,160.02,audio_features,5xTtaWoae3wi06K5WfVUUH,spotify:track:5xTtaWoae3wi06K5WfVUUH,https://api.spotify.com/v1/tracks/5xTtaWoae3wi06K5WfVUUH,https://api.spotify.com/v1/audio-analysis/5xTtaWoae3wi06K5WfVUUH,219200,4
8,Time - 2011 Remastered Version,0.334,0.81,7,-5.705,1,0.038,0.0229,0.0,0.313,0.632,185.533,audio_features,0HVMgdDyhr4pwNqrVh1TWB,spotify:track:0HVMgdDyhr4pwNqrVh1TWB,https://api.spotify.com/v1/tracks/0HVMgdDyhr4pwNqrVh1TWB,https://api.spotify.com/v1/audio-analysis/0HVMgdDyhr4pwNqrVh1TWB,253267,4
9,Icky Thump,0.417,0.63,9,-7.24,1,0.0898,0.0209,0.0134,0.0543,0.341,94.214,audio_features,2LMq1O0NiqGhPOlXo3McYQ,spotify:track:2LMq1O0NiqGhPOlXo3McYQ,https://api.spotify.com/v1/tracks/2LMq1O0NiqGhPOlXo3McYQ,https://api.spotify.com/v1/audio-analysis/2LMq1O0NiqGhPOlXo3McYQ,254533,4
10,All Over Town,0.594,0.661,9,-13.79,0,0.0465,0.111,7.07e-06,0.0929,0.904,129.045,audio_features,7a6OzNCJJId4ZhNTkJHPgx,spotify:track:7a6OzNCJJId4ZhNTkJHPgx,https://api.spotify.com/v1/tracks/7a6OzNCJJId4ZhNTkJHPgx,https://api.spotify.com/v1/audio-analysis/7a6OzNCJJId4ZhNTkJHPgx,180200,4
11,Golden Slumbers - Remastered 2009,0.419,0.152,0,-12.126,1,0.0277,0.326,0.0034,0.113,0.239,80.608,audio_features,01SfTM5nfCou5gQL70r6gs,spotify:track:01SfTM5nfCou5gQL70r6gs,https://api.spotify.com/v1/tracks/01SfTM5nfCou5gQL70r6gs,https://api.spotify.com/v1/audio-analysis/01SfTM5nfCou5gQL70r6gs,91760,4
12,Knocking on Heavens Door,0.321,0.389,8,-8.909,1,0.0498,0.67,0.00109,0.0926,0.128,127.778,audio_features,20jZ7lf5eqDUQQruuMSKVE,spotify:track:20jZ7lf5eqDUQQruuMSKVE,https://api.spotify.com/v1/tracks/20jZ7lf5eqDUQQruuMSKVE,https://api.spotify.com/v1/audio-analysis/20jZ7lf5eqDUQQruuMSKVE,264390,4
13,The Wind,0.758,0.187,2,-18.963,1,0.0437,0.927,0.1,0.122,0.78,115.75,audio_features,1rHMg7t3LICgfTl2OsDn46,spotify:track:1rHMg7t3LICgfTl2OsDn46,https://api.spotify.com/v1/tracks/1rHMg7t3LICgfTl2OsDn46,https://api.spotify.com/v1/audio-analysis/1rHMg7t3LICgfTl2OsDn46,102200,4
14,The Grid,0.548,0.496,1,-13.466,1,0.0355,0.302,0.135,0.321,0.0973,102.062,audio_features,4Bvxi5oUS3M4DezTfsd5pp,spotify:track:4Bvxi5oUS3M4DezTfsd5pp,https://api.spotify.com/v1/tracks/4Bvxi5oUS3M4DezTfsd5pp,https://api.spotify.com/v1/audio-analysis/4Bvxi5oUS3M4DezTfsd5pp,96747,5
15,A Horse with No Name,0.654,0.506,11,-17.18,0,0.0535,0.686,0.0155,0.155,0.831,123.179,audio_features,54eZmuggBFJbV7k248bTTt,spotify:track:54eZmuggBFJbV7k248bTTt,https://api.spotify.com/v1/tracks/54eZmuggBFJbV7k248bTTt,https://api.spotify.com/v1/audio-analysis/54eZmuggBFJbV7k248bTTt,252240,4
16,Golden Slumbers / Carry That Weight,0.243,0.438,10,-7.417,1,0.0372,0.185,3.94e-05,0.0942,0.179,163.787,audio_features,6Atf08XRK8oAs1XfAi6SPq,spotify:track:6Atf08XRK8oAs1XfAi6SPq,https://api.spotify.com/v1/tracks/6Atf08XRK8oAs1XfAi6SPq,https://api.spotify.com/v1/audio-analysis/6Atf08XRK8oAs1XfAi6SPq,220387,4
17,For What It's Worth,0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,audio_features,1qRA5BS78u3gME0loMl9AA,spotify:track:1qRA5BS78u3gME0loMl9AA,https://api.spotify.com/v1/tracks/1qRA5BS78u3gME0loMl9AA,https://api.spotify.com/v1/audio-analysis/1qRA5BS78u3gME0loMl9AA,153693,4
18,La tribu de Dana,0.666,0.781,8,-6.882,1,0.0593,0.111,0.0,0.108,0.367,93.532,audio_features,64gCM9yZv2jpNflclKUnXu,spotify:track:64gCM9yZv2jpNflclKUnXu,https://api.spotify.com/v1/tracks/64gCM9yZv2jpNflclKUnXu,https://api.spotify.com/v1/audio-analysis/64gCM9yZv2jpNflclKUnXu,287240,4
19,Sous le vent,0.48,0.495,11,-7.704,1,0.0389,0.54,0.0,0.0813,0.326,140.713,audio_features,10RFJqzKXALzpxH4rvwovn,spotify:track:10RFJqzKXALzpxH4rvwovn,https://api.spotify.com/v1/tracks/10RFJqzKXALzpxH4rvwovn,https://api.spotify.com/v1/audio-analysis/10RFJqzKXALzpxH4rvwovn,210960,4
20,Space Oddity - 2015 Remaster,0.299,0.443,0,-12.621,1,0.0346,0.0748,0.000138,0.177,0.434,139.539,audio_features,72Z17vmmeQKAg8bptWvpVG,spotify:track:72Z17vmmeQKAg8bptWvpVG,https://api.spotify.com/v1/tracks/72Z17vmmeQKAg8bptWvpVG,https://api.spotify.com/v1/audio-analysis/72Z17vmmeQKAg8bptWvpVG,318813,4
21,Forever Young,0.6,0.96,4,-1.807,1,0.095,0.0426,0.0,0.0882,0.503,109.863,audio_features,56bHclo7YNvpujMveLElQn,spotify:track:56bHclo7YNvpujMveLElQn,https://api.spotify.com/v1/tracks/56bHclo7YNvpujMveLElQn,https://api.spotify.com/v1/audio-analysis/56bHclo7YNvpujMveLElQn,237077,4
22,Angie,0.429,0.554,9,-6.128,0,0.0291,0.67,0.000152,0.105,0.407,136.302,audio_features,1GcVa4jFySlun4jLSuMhiq,spotify:track:1GcVa4jFySlun4jLSuMhiq,https://api.spotify.com/v1/tracks/1GcVa4jFySlun4jLSuMhiq,https://api.spotify.com/v1/audio-analysis/1GcVa4jFySlun4jLSuMhiq,272000,4
23,Inaudible Melodies,0.807,0.273,6,-13.886,1,0.071,0.614,0.0179,0.132,0.321,142.886,audio_features,60l2klsUm0sh1J80XuaGnf,spotify:track:60l2klsUm0sh1J80XuaGnf,https://api.spotify.com/v1/tracks/60l2klsUm0sh1J80XuaGnf,https://api.spotify.com/v1/audio-analysis/60l2klsUm0sh1J80XuaGnf,217908,4
24,Californication,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,audio_features,48UPSzbZjgc449aqz8bxox,spotify:track:48UPSzbZjgc449aqz8bxox,https://api.spotify.com/v1/tracks/48UPSzbZjgc449aqz8bxox,https://api.spotify.com/v1/audio-analysis/48UPSzbZjgc449aqz8bxox,329733,4
25,Faith,0.375,0.605,0,-7.268,0,0.0729,0.612,0.0448,0.147,0.128,175.946,audio_features,3orEOtd8CPL8GFlpRpKuoE,spotify:track:3orEOtd8CPL8GFlpRpKuoE,https://api.spotify.com/v1/tracks/3orEOtd8CPL8GFlpRpKuoE,https://api.spotify.com/v1/audio-analysis/3orEOtd8CPL8GFlpRpKuoE,283227,4
26,J'me tire,0.752,0.676,1,-5.233,0,0.0418,0.00892,1.94e-06,0.186,0.425,95.017,audio_features,4w47YE9rjhmZUdtZjSCb82,spotify:track:4w47YE9rjhmZUdtZjSCb82,https://api.spotify.com/v1/tracks/4w47YE9rjhmZUdtZjSCb82,https://api.spotify.com/v1/audio-analysis/4w47YE9rjhmZUdtZjSCb82,249867,4
27,Still Loving You,0.282,0.605,6,-4.916,0,0.0294,0.0047,0.00144,0.103,0.0783,103.929,audio_features,0RdUX4WE0fO30VnlUbDVL6,spotify:track:0RdUX4WE0fO30VnlUbDVL6,https://api.spotify.com/v1/tracks/0RdUX4WE0fO30VnlUbDVL6,https://api.spotify.com/v1/audio-analysis/0RdUX4WE0fO30VnlUbDVL6,403453,4
28,Hurricane,0.464,0.813,10,-6.185,1,0.0416,0.0153,0.0,0.254,0.515,75.977,audio_features,6xHI9KjUjYT0FPtGO8Mxa1,spotify:track:6xHI9KjUjYT0FPtGO8Mxa1,https://api.spotify.com/v1/tracks/6xHI9KjUjYT0FPtGO8Mxa1,https://api.spotify.com/v1/audio-analysis/6xHI9KjUjYT0FPtGO8Mxa1,222533,4
29,Sur la route,0.646,0.473,4,-10.372,1,0.0275,0.374,0.0029,0.256,0.773,116.365,audio_features,6NQ1iVoOqcYKDdsrkLi1PK,spotify:track:6NQ1iVoOqcYKDdsrkLi1PK,https://api.spotify.com/v1/tracks/6NQ1iVoOqcYKDdsrkLi1PK,https://api.spotify.com/v1/audio-analysis/6NQ1iVoOqcYKDdsrkLi1PK,173933,4
30,Flake,0.758,0.654,5,-10.98,1,0.04,0.662,0.0197,0.199,0.962,97.657,audio_features,7hOXiS6kDP4vYIh9DBsNgK,spotify:track:7hOXiS6kDP4vYIh9DBsNgK,https://api.spotify.com/v1/tracks/7hOXiS6kDP4vYIh9DBsNgK,https://api.spotify.com/v1/audio-analysis/7hOXiS6kDP4vYIh9DBsNgK,281749,4
31,New Kid in Town - 2013 Remaster,0.649,0.425,4,-9.811,1,0.0267,0.378,0.0013,0.108,0.651,107.383,audio_features,6Zyz8lsnMFpIrCTuvGurCB,spotify:track:6Zyz8lsnMFpIrCTuvGurCB,https://api.spotify.com/v1/tracks/6Zyz8lsnMFpIrCTuvGurCB,https://api.spotify.com/v1/audio-analysis/6Zyz8lsnMFpIrCTuvGurCB,304926,4
32,Overture,0.381,0.65,7,-4.266,1,0.038,0.132,1.19e-06,0.0368,0.312,132.184,audio_features,5tRqpgla6zqUn78qx2nkOy,spotify:track:5tRqpgla6zqUn78qx2nkOy,https://api.spotify.com/v1/tracks/5tRqpgla6zqUn78qx2nkOy,https://api.spotify.com/v1/audio-analysis/5tRqpgla6zqUn78qx2nkOy,214407,4
33,La corrida - Remastered,0.608,0.322,5,-15.391,1,0.0431,0.7,0.00298,0.0724,0.274,98.724,audio_features,5MtP6QGoOkA1L5ynZyQEiv,spotify:track:5MtP6QGoOkA1L5ynZyQEiv,https://api.spotify.com/v1/tracks/5MtP6QGoOkA1L5ynZyQEiv,https://api.spotify.com/v1/audio-analysis/5MtP6QGoOkA1L5ynZyQEiv,342613,4
34,Johnny B. Goode,0.534,0.803,10,-9.129,1,0.0743,0.741,6.07e-05,0.307,0.969,167.983,audio_features,2QfiRTz5Yc8DdShCxG1tB2,spotify:track:2QfiRTz5Yc8DdShCxG1tB2,https://api.spotify.com/v1/tracks/2QfiRTz5Yc8DdShCxG1tB2,https://api.spotify.com/v1/audio-analysis/2QfiRTz5Yc8DdShCxG1tB2,161560,4
35,Money For Nothing,0.667,0.655,2,-9.339,0,0.0367,0.0491,0.000894,0.0641,0.657,134.212,audio_features,4yqtwO7MQIIXqoiRBPHAgR,spotify:track:4yqtwO7MQIIXqoiRBPHAgR,https://api.spotify.com/v1/tracks/4yqtwO7MQIIXqoiRBPHAgR,https://api.spotify.com/v1/audio-analysis/4yqtwO7MQIIXqoiRBPHAgR,506400,4
36,Take Five,0.454,0.26,8,-13.193,0,0.0401,0.539,0.00078,0.0675,0.598,174.322,audio_features,1YQWosTIljIvxAgHWTp7KP,spotify:track:1YQWosTIljIvxAgHWTp7KP,https://api.spotify.com/v1/tracks/1YQWosTIljIvxAgHWTp7KP,https://api.spotify.com/v1/audio-analysis/1YQWosTIljIvxAgHWTp7KP,324133,5
37,L'homme pressé,0.579,0.875,7,-5.791,1,0.0523,0.00577,0.0,0.0744,0.768,102.029,audio_features,1WmRoyqs7FqumQW4t7OFyz,spotify:track:1WmRoyqs7FqumQW4t7OFyz,https://api.spotify.com/v1/tracks/1WmRoyqs7FqumQW4t7OFyz,https://api.spotify.com/v1/audio-analysis/1WmRoyqs7FqumQW4t7OFyz,225933,4
38,Kokomo,0.683,0.575,0,-11.857,1,0.0361,0.00912,0.0,0.125,0.935,115.579,audio_features,1CnMKxIztQzO9DM9qADbP8,spotify:track:1CnMKxIztQzO9DM9qADbP8,https://api.spotify.com/v1/tracks/1CnMKxIztQzO9DM9qADbP8,https://api.spotify.com/v1/audio-analysis/1CnMKxIztQzO9DM9qADbP8,217787,4
