,title,album,artist,time,stars,played,deleted
485,In the Sun,Grey&#39;s Anatomy Soundtrack,Chris Martin ft. Michael Stipe,229000,5,71,
983,Some Kind Of Wonderful,Grand Theft Auto: San Andreas OST,Grand Funk Railroad,203000,4,70,
1111,Today,First between 3rd and 4th,Joshua Radin,217000,5,69,
1237,You Know My Name,James Bond Themes,Chris Cornell,242466,4,58,
263,Don&#39;t panic,Garden state [Soundtrack],Coldplay,137000,4,49,
1070,The Pieces Don&#39;t Fit Anymore,Undiscovered,James Morrison,255997,4,44,
252,Do You Wanna,First between 3rd and 4th,Joshua Radin,163000,4,41,
1009,Strawberry Fields Forever,Across The Universe [Disc 2],Jim Sturgess &amp; Joe Anderson,217336,4,40,
342,Flake,Brushfire Fairytales,Jack Johnson,281519,4,40,
984,Someone Else&#39;s Life,We Were Here,Joshua Radin,210727,4,40,
80,Ball And Biscuit,Elephant,The White Stripes,438957,4,39,
382,Girlfriend in a Coma,First between 3rd and 4th,Joshua Radin,168000,4,39,
173,Chocolate,The Last Kiss,Snow Patrol,189000,4,38,
1142,Twenty-Four,title,Switchfoot,291497,4,38,
957,Sideways,Scrubs s5,Citizen Cope,319030,4,37,
314,Everything&#39;ll Be Alright (Will&#39;s Lullaby),We Were Here,Joshua Radin,159894,4,37,
1113,Tomorrow can wait (vs El Tocadisco),Pop Life,David Guetta,214000,4,35,
1181,We Can Work It Out,One,The Beatles,135000,4,33,
1015,Such great heights,Garden state [Soundtrack],Iron and wine,250616,4,33,
413,HARVEST MOON,My Blueberry Nights OST,CASSANDRA WILSON,284418,4,31,
535,Kids,Oracular Spectacular,MGMT,302861,4,30,
432,High Tide Or Low Tide,Last Call With Carson Daly 6/28/03,Ben Harper &amp; Jack Johnson,338000,4,30,
640,Love Don&#39;t Let Me Go,Weezer (Green Album),David Guetta Feat. Chris Willis,137000,4,29,
599,Les lois de la nature,Les lois de la nature,De Palmas,295000,4,29,
487,In Too Deep,All Killer No Filler,Sum 41,207096,4,29,
400,Hands In The Air,Feed The Animals,Girl Talk,260000,4,29,
78,Baby when the light (with Steve Angelo ft Cozi),Pop Life,David Guetta,208000,4,28,
468,If I Could Turn Back The Hands Of Time,,R Kelly,378589,4,28,
110,blowin in the wind,The Freewheelin&#39; Bob Dylan,bob dylan,165432,4,26,
436,Hold On -Jet,Spider-Man 2,Jet,243345,4,26,
476,Imagine,Emotive,A Perfect Circle,287997,4,26,
654,L&#39;heure avait sonné,Sur mes gardes,Joyce Jonathan,217937,4,26,
1226,World Spins Madly On,Scrubs s5,The Weepies,173000,4,25,
1205,When You Believe,Prince d&#39; Egypte,Walt Disney,273734,4,25,
681,Mc Hush.mp3,,H-man,289000,4,25,
1212,Who I Am -Smile Empty Soul,Spider-Man 2,Smile Empty Soul,194885,4,24,
1223,Wonderful World,compile gg,Sam Cooke,129172,4,24,
53,and the beat goes on - the whispers.MP3,,,271000,4,24,
580,Le piège,Sur mes gardes,Joyce Jonathan,185755,4,24,
276,Du Rhum Des Femmes,compile Alice,Soldat Louis,179955,4,23,
678,Matrix,,moby,289250,4,23,
435,Hit the road jack,B.O Ray,Ray Charles,120000,4,23,
1213, Whole Lotta Love,Led Zeppelin 2,Led Zeppelin,334000,4,22,
574,Le Diner,Reprise des Négociations,Bénabar,180765,4,22,
7,100 Years,The Battle for Everything,Five for Fighting,244608,4,21,
645,Love To Love You Baby (Intro Mix),Love To Love You Baby Vinyl,David Vendetta Vs Donna Summer,315000,4,21,
1128,Tricky Tricky (Cust Rmx),,Röyksopp,270000,4,19,
671,Marie,compile Alice,Chanson versaillaise,216154,4,19,
623,Loin Devant,Double Tour Cd2,Francis Cabrel,380888,4,19,
274,Drunk,+,Ed Sheeran,199183,0,18,
